GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chr3p14	22	Cytogenetic band	-0.26828	-0.80223	0.7246	0.94527	0.99	0.364	0.258	0.27	0.98956	0.481
chr20q13	139	Cytogenetic band	-0.19572	-0.79661	0.7958	0.94686	0.99	0.288	0.265	0.213	0.9916	0.484
chr18p11	40	Cytogenetic band	-0.22796	-0.79495	0.7371	0.93921	0.99	0.3	0.223	0.234	0.98217	0.471
chr13q32	19	Cytogenetic band	-0.25077	-0.77927	0.7686	0.96321	0.991	0.158	0.0735	0.146	1	0.524
chr2p11	23	Cytogenetic band	-0.23905	-0.77897	0.7661	0.95262	0.991	0.087	0.0416	0.0835	0.99746	0.496
chr5q35	57	Cytogenetic band	-0.21494	-0.77875	0.7988	0.94233	0.991	0.193	0.19	0.157	0.98599	0.477
chr7p13	18	Cytogenetic band	-0.26047	-0.77187	0.7372	0.94637	0.991	0.167	0.0783	0.154	0.99343	0.484
chr2p13	45	Cytogenetic band	-0.19488	-0.77134	0.8635	0.93674	0.991	0.133	0.112	0.119	0.98362	0.462
chr5q11	17	Cytogenetic band	-0.27031	-0.76648	0.7718	0.93649	0.992	0.529	0.323	0.359	0.98297	0.462
chr2q33	37	Cytogenetic band	-0.2161	-0.76624	0.8304	0.92658	0.992	0.243	0.21	0.193	0.97236	0.437
chr9p24	23	Cytogenetic band	-0.23924	-0.76392	0.7988	0.92077	0.992	0.435	0.315	0.298	0.96537	0.415
chr4q21	35	Cytogenetic band	-0.22692	-0.75453	0.8224	0.93005	0.994	0.229	0.22	0.179	0.97432	0.435
chr4	418	Chromosome 4	-0.16994	-0.75046	0.9111	0.92799	0.994	0.234	0.227	0.186	0.9706	0.424
chr7q36	32	Cytogenetic band	-0.21496	-0.7465	0.872	0.92692	0.994	0.219	0.187	0.178	0.96775	0.419
chr7	483	Chromosome 7	-0.16257	-0.74127	0.9314	0.92725	0.995	0.302	0.307	0.216	0.96776	0.408
chr11q23	70	Cytogenetic band	-0.19624	-0.73965	0.8614	0.92072	0.995	0.286	0.286	0.205	0.96232	0.39
chr20p13	40	Cytogenetic band	-0.21341	-0.73465	0.8592	0.92071	0.996	0.15	0.142	0.129	0.96364	0.38
chr9p13	50	Cytogenetic band	-0.19304	-0.73375	0.8668	0.91311	0.996	0.28	0.252	0.21	0.95473	0.356
chr11q24	28	Cytogenetic band	-0.22884	-0.72829	0.8104	0.91321	0.996	0.107	0.055	0.101	0.95411	0.349
chr2q36	15	Cytogenetic band	-0.27055	-0.72226	0.8327	0.91499	0.996	0.133	0.0479	0.127	0.9571	0.344
chr6q16	15	Cytogenetic band	-0.25211	-0.7151	0.8619	0.91801	0.996	0.0667	0.00458	0.0664	0.95719	0.346
chr2p23	44	Cytogenetic band	-0.17948	-0.70639	0.903	0.92396	0.996	0.273	0.272	0.199	0.96475	0.359
chr17q11	38	Cytogenetic band	-0.20325	-0.69753	0.854	0.92822	0.996	0.421	0.32	0.287	0.96667	0.358
chr5q31	84	Cytogenetic band	-0.19649	-0.69231	0.9052	0.92681	0.996	0.274	0.247	0.207	0.96667	0.337
chr14q24	60	Cytogenetic band	-0.1777	-0.66514	0.9268	0.95771	0.998	0.367	0.308	0.255	0.9915	0.448
chr15q25	36	Cytogenetic band	-0.18759	-0.66357	0.9137	0.95093	0.998	0.25	0.243	0.19	0.98469	0.406
chr7q11	39	Cytogenetic band	-0.19643	-0.64629	0.9262	0.96317	0.999	0.179	0.178	0.148	0.99451	0.464
chr14	369	Chromosome 14	-0.14851	-0.62653	0.9807	0.97487	0.999	0.192	0.202	0.157	1	0.521
chr14q21	24	Cytogenetic band	-0.2063	-0.60622	0.9016	0.98484	0.999	0.208	0.232	0.16	1	0.576
chr9q31	28	Cytogenetic band	-0.19353	-0.59083	0.9426	0.98811	0.999	0.179	0.163	0.15	1	0.589
chr13q34	23	Cytogenetic band	-0.18748	-0.58704	0.962	0.982	0.999	0.174	0.145	0.149	1	0.529
chr17q25	82	Cytogenetic band	-0.13159	-0.48989	0.9959	1	0.999	0.366	0.369	0.232	1	0.885
chr5q22	16	Cytogenetic band	-0.15982	-0.48479	0.9936	1	0.999	0.438	0.4	0.263	1	0.83
chr7q31	37	Cytogenetic band	-0.14692	-0.48039	0.9938	0.99746	0.999	0.297	0.276	0.216	1	0.707
chr18q11	17	Cytogenetic band	-0.15042	-0.40654	0.994	0.99677	0.999	0.235	0.233	0.181	1	0.911
