GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chr17q24	19	Cytogenetic band	0.46088	1.4004	0.09505	0.41747	0.877	0.474	0.273	0.345	0.36471	0.054
chr5q14	20	Cytogenetic band	0.44967	1.3972	0.09677	0.40526	0.881	0.45	0.252	0.337	0.36257	0.05
chr6q25	22	Cytogenetic band	0.4197	1.3871	0.08415	0.41031	0.89	0.5	0.319	0.341	0.37021	0.054
chr13q12	31	Cytogenetic band	0.43146	1.3789	0.1359	0.4117	0.894	0.452	0.254	0.338	0.37365	0.056
chr5	340	Chromosome 5	0.28957	1.3772	0.06706	0.39862	0.896	0.306	0.254	0.236	0.35963	0.047
chr18q12	20	Cytogenetic band	0.44738	1.3498	0.1159	0.44742	0.916	0.5	0.28	0.361	0.41333	0.06
chr6q14	19	Cytogenetic band	0.4346	1.3466	0.1118	0.43727	0.916	0.263	0.104	0.236	0.40715	0.057
chr4	305	Chromosome 4	0.30483	1.343	0.08696	0.42898	0.919	0.295	0.24	0.231	0.3964	0.053
chr2p25	24	Cytogenetic band	0.39511	1.337	0.1355	0.42769	0.921	0.583	0.344	0.383	0.39541	0.048
chr3q26	24	Cytogenetic band	0.39893	1.3364	0.1205	0.41387	0.921	0.333	0.231	0.257	0.38234	0.044
chr16q22	45	Cytogenetic band	0.35699	1.3327	0.1324	0.40959	0.924	0.422	0.255	0.316	0.37576	0.035
chr5p15	18	Cytogenetic band	0.48323	1.2994	0.187	0.4725	0.937	0.611	0.354	0.395	0.43564	0.063
chr1q21	69	Cytogenetic band	0.31051	1.2925	0.1193	0.47458	0.939	0.246	0.18	0.203	0.4456	0.058
chr18	108	Chromosome 18	0.31021	1.2923	0.1196	0.46048	0.939	0.389	0.292	0.278	0.4321	0.051
chr16p12	23	Cytogenetic band	0.36468	1.2832	0.1281	0.46907	0.946	0.261	0.214	0.206	0.43702	0.054
chr20	213	Chromosome 20	0.27008	1.2673	0.1265	0.49038	0.951	0.282	0.231	0.221	0.46049	0.063
chr21	93	Chromosome 21	0.34641	1.2655	0.2315	0.48092	0.952	0.462	0.344	0.306	0.45173	0.058
chr3p14	18	Cytogenetic band	0.39297	1.2557	0.1922	0.48934	0.954	0.389	0.222	0.303	0.46403	0.062
chr11q22	25	Cytogenetic band	0.3532	1.2523	0.1328	0.48427	0.954	0.2	0.136	0.173	0.46044	0.058
chrXq26	16	Cytogenetic band	0.44217	1.2516	0.2261	0.47359	0.955	0.375	0.15	0.319	0.45421	0.051
chr10	279	Chromosome 10	0.28289	1.2508	0.1463	0.46361	0.955	0.197	0.158	0.171	0.44286	0.046
chr4q31	23	Cytogenetic band	0.41579	1.2299	0.1967	0.49703	0.961	0.435	0.315	0.299	0.46848	0.058
chr3	401	Chromosome 3	0.25262	1.2275	0.161	0.49094	0.962	0.304	0.268	0.232	0.46131	0.053
chr1p34	61	Cytogenetic band	0.33507	1.2254	0.2464	0.48438	0.962	0.344	0.217	0.271	0.45608	0.051
chr12q24	72	Cytogenetic band	0.28253	1.2176	0.1884	0.49009	0.965	0.306	0.215	0.242	0.46326	0.05
chrY	27	Chromosome Y	0.35991	1.2165	0.2371	0.4822	0.966	0.37	0.3	0.26	0.45926	0.046
chr2q37	39	Cytogenetic band	0.31068	1.2155	0.1762	0.47408	0.966	0.41	0.294	0.291	0.44928	0.043
chrXq13	20	Cytogenetic band	0.38278	1.2103	0.25	0.47483	0.966	0.55	0.281	0.396	0.45114	0.042
chr10q26	37	Cytogenetic band	0.33577	1.2039	0.2327	0.47848	0.97	0.351	0.26	0.261	0.45781	0.041
chr16q24	25	Cytogenetic band	0.3233	1.1996	0.1896	0.47776	0.971	0.2	0.0845	0.184	0.45237	0.039
chr17	449	Chromosome 17	0.23866	1.1922	0.1871	0.48287	0.973	0.278	0.241	0.221	0.45837	0.038
chr9p13	41	Cytogenetic band	0.31444	1.1906	0.2275	0.4764	0.973	0.463	0.328	0.313	0.45728	0.035
chr5q32	17	Cytogenetic band	0.35671	1.1812	0.2264	0.4869	0.975	0.294	0.163	0.247	0.45858	0.034
chr20q13	97	Cytogenetic band	0.29629	1.1788	0.2261	0.48304	0.976	0.33	0.265	0.245	0.46045	0.029
chr22q11	49	Cytogenetic band	0.28766	1.1739	0.2186	0.4844	0.979	0.286	0.228	0.222	0.46391	0.028
chr1p31	32	Cytogenetic band	0.33205	1.167	0.2706	0.48903	0.98	0.188	0.117	0.166	0.46561	0.03
chr22	211	Chromosome 22	0.24249	1.1425	0.2368	0.52984	0.983	0.294	0.253	0.224	0.52044	0.046
chrXp11	70	Cytogenetic band	0.28876	1.1421	0.2609	0.52136	0.983	0.257	0.194	0.209	0.51131	0.04
chr15q15	26	Cytogenetic band	0.35183	1.1397	0.3002	0.51731	0.983	0.385	0.225	0.299	0.50478	0.036
chr18q21	36	Cytogenetic band	0.35323	1.1393	0.3123	0.50949	0.983	0.417	0.277	0.302	0.49676	0.035
chr16	315	Chromosome 16	0.2322	1.1369	0.2582	0.50657	0.984	0.251	0.227	0.2	0.49203	0.033
chrX	307	Chromosome X	0.2501	1.1345	0.2807	0.5028	0.984	0.345	0.312	0.245	0.48937	0.028
chr7q21	39	Cytogenetic band	0.32843	1.1128	0.3129	0.53898	0.989	0.154	0.0921	0.14	0.53399	0.041
chr6q15	15	Cytogenetic band	0.41148	1.1116	0.3434	0.53353	0.989	0.733	0.421	0.425	0.52851	0.037
chr14q24	44	Cytogenetic band	0.33012	1.1098	0.3227	0.52847	0.99	0.523	0.393	0.319	0.52163	0.034
chr1q22	27	Cytogenetic band	0.31999	1.0959	0.3403	0.54893	0.991	0.259	0.111	0.231	0.54505	0.04
chr17p13	87	Cytogenetic band	0.2675	1.0937	0.3311	0.54533	0.991	0.322	0.257	0.241	0.54037	0.034
chr12q14	20	Cytogenetic band	0.32025	1.0864	0.3265	0.55164	0.991	0.1	0.0302	0.0972	0.54548	0.036
chrXq22	25	Cytogenetic band	0.35712	1.0859	0.3709	0.54457	0.991	0.36	0.266	0.265	0.53954	0.031
chr8p23	17	Cytogenetic band	0.35613	1.0841	0.3496	0.54064	0.991	0.412	0.267	0.303	0.53313	0.027
chr11	462	Chromosome 11	0.21234	1.0609	0.3388	0.57938	0.992	0.286	0.267	0.219	0.57912	0.045
chr9	287	Chromosome 9	0.21549	1.056	0.3542	0.58168	0.992	0.237	0.22	0.19	0.58216	0.044
chr1p13	47	Cytogenetic band	0.27123	1.0551	0.3635	0.57542	0.992	0.255	0.255	0.191	0.57407	0.037
chr1p22	21	Cytogenetic band	0.32901	1.0478	0.3981	0.583	0.993	0.381	0.305	0.265	0.5839	0.038
chr20q11	45	Cytogenetic band	0.27074	1.0343	0.4097	0.6023	0.994	0.267	0.223	0.208	0.60453	0.046
chr7q11	32	Cytogenetic band	0.28626	1.0321	0.4052	0.59864	0.994	0.281	0.199	0.226	0.60012	0.04
chr11p11	25	Cytogenetic band	0.32502	1.0211	0.4597	0.61272	0.995	0.24	0.147	0.205	0.61811	0.046
chr2q33	28	Cytogenetic band	0.3015	1.0181	0.4491	0.61034	0.995	0.429	0.352	0.278	0.61399	0.042
chr9q31	21	Cytogenetic band	0.31287	1.0134	0.4318	0.61241	0.996	0.286	0.195	0.23	0.62176	0.039
chr12q23	22	Cytogenetic band	0.29641	1.0098	0.4553	0.61202	0.996	0.409	0.299	0.287	0.61982	0.037
chr3q25	22	Cytogenetic band	0.31036	1.0059	0.4351	0.61305	0.996	0.318	0.305	0.222	0.62428	0.038
chr5q23	23	Cytogenetic band	0.28504	1.0052	0.4345	0.60717	0.996	0.304	0.226	0.236	0.6176	0.03
chr5p13	21	Cytogenetic band	0.3223	1.0033	0.4329	0.60417	0.996	0.333	0.294	0.236	0.61433	0.027
chr13q34	18	Cytogenetic band	0.29147	0.99827	0.464	0.60731	0.996	0.278	0.21	0.22	0.62249	0.026
chr12	422	Chromosome 12	0.20007	0.99506	0.4699	0.60592	0.996	0.313	0.305	0.227	0.62034	0.023
chr21q22	79	Cytogenetic band	0.28349	0.98284	0.4645	0.62312	0.996	0.43	0.344	0.284	0.63824	0.025
chr17q11	30	Cytogenetic band	0.28116	0.97793	0.4968	0.62596	0.996	0.233	0.208	0.185	0.64243	0.023
chr17p11	25	Cytogenetic band	0.27778	0.97308	0.5083	0.62924	0.998	0.32	0.284	0.23	0.64323	0.023
chr9q34	69	Cytogenetic band	0.23681	0.97108	0.5	0.62636	0.998	0.333	0.293	0.237	0.64183	0.021
chr15q24	28	Cytogenetic band	0.27616	0.96716	0.5176	0.62678	0.998	0.357	0.248	0.269	0.64534	0.018
chr3q27	28	Cytogenetic band	0.27468	0.95925	0.4868	0.63543	0.999	0.321	0.265	0.237	0.65263	0.017
chr8p21	38	Cytogenetic band	0.25391	0.95702	0.5363	0.63297	0.999	0.0789	0.0191	0.0777	0.6517	0.015
chr14q11	49	Cytogenetic band	0.25031	0.95195	0.5445	0.63614	1	0.265	0.213	0.21	0.65369	0.015
chr17q12	38	Cytogenetic band	0.24676	0.94362	0.5506	0.64634	1	0.316	0.241	0.241	0.66667	0.017
chr9q21	24	Cytogenetic band	0.30272	0.93273	0.5717	0.66077	1	0.208	0.104	0.187	0.68447	0.018
chr5q35	44	Cytogenetic band	0.24358	0.92521	0.5432	0.66991	1	0.273	0.251	0.205	0.69102	0.019
chr2q11	27	Cytogenetic band	0.26128	0.92022	0.5363	0.67231	1	0.111	0.0538	0.105	0.69551	0.016
chr4q21	25	Cytogenetic band	0.30457	0.91051	0.5884	0.68435	1	0.36	0.306	0.25	0.70553	0.016
chr16p13	81	Cytogenetic band	0.20675	0.9077	0.6229	0.68315	1	0.259	0.221	0.204	0.70545	0.015
chr5q13	23	Cytogenetic band	0.31341	0.90643	0.6029	0.67854	1	0.391	0.333	0.262	0.70025	0.006
chr6q27	17	Cytogenetic band	0.31241	0.88658	0.6337	0.71013	1	0.235	0.187	0.192	0.73663	0.02
chr22q13	91	Cytogenetic band	0.19504	0.87484	0.6627	0.72575	1	0.132	0.0785	0.123	0.75319	0.023
chr2q14	17	Cytogenetic band	0.27398	0.87438	0.6273	0.71947	1	0.412	0.309	0.285	0.74673	0.017
chr12q21	22	Cytogenetic band	0.26517	0.86568	0.6747	0.729	1	0.364	0.303	0.254	0.75935	0.016
chr7	364	Chromosome 7	0.18578	0.843	0.7431	0.76591	1	0.382	0.357	0.255	0.79487	0.023
chr8q24	56	Cytogenetic band	0.20466	0.83513	0.7241	0.77384	1	0.0893	0.058	0.0846	0.80519	0.023
chr20p13	26	Cytogenetic band	0.25836	0.83153	0.6687	0.77288	1	0.308	0.225	0.239	0.80677	0.02
chr4p15	17	Cytogenetic band	0.26037	0.81647	0.7269	0.79371	1	0.294	0.201	0.235	0.82459	0.025
chr7q32	15	Cytogenetic band	0.27018	0.81114	0.7171	0.79663	1	0.533	0.345	0.35	0.82837	0.017
chr3p22	27	Cytogenetic band	0.22464	0.81111	0.7707	0.78937	1	0.444	0.358	0.286	0.82083	0.01
chr2q31	34	Cytogenetic band	0.24175	0.80866	0.7416	0.78682	1	0.235	0.211	0.186	0.81983	0.007
chr11q13	114	Cytogenetic band	0.19061	0.80167	0.7362	0.7925	1	0.211	0.19	0.173	0.82514	0.007
chr1p32	26	Cytogenetic band	0.23615	0.78233	0.7963	0.82086	1	0.192	0.163	0.161	0.8498	0.009
chr9p21	24	Cytogenetic band	0.28822	0.75682	0.8229	0.85639	1	0.208	0.204	0.166	0.88758	0.029
chrXp22	58	Cytogenetic band	0.20436	0.75514	0.7944	0.85166	1	0.293	0.3	0.206	0.88153	0.015
chr10q11	20	Cytogenetic band	0.25433	0.74003	0.8194	0.86726	1	0.4	0.329	0.269	0.8963	0.023
chr10q21	20	Cytogenetic band	0.31101	0.72767	0.8337	0.87957	1	0.15	0.077	0.139	0.90556	0.022
chr3q21	23	Cytogenetic band	0.23884	0.72587	0.8266	0.87498	1	0.348	0.228	0.269	0.90223	0.009
chr6p12	27	Cytogenetic band	0.21474	0.67918	0.8791	0.92708	1	0.444	0.386	0.274	0.94956	0.083
chr8q22	23	Cytogenetic band	0.19229	0.64578	0.9156	0.95443	1	0.565	0.399	0.34	0.97255	0.187
chrXq28	62	Cytogenetic band	0.16262	0.61277	0.97	0.97314	1	0.21	0.232	0.162	0.98636	0.313
chrXq21	15	Cytogenetic band	0.20699	0.58118	0.9414	0.98429	1	0.333	0.366	0.212	0.99487	0.417
chr4q32	16	Cytogenetic band	0.22252	0.54684	0.9806	0.99238	1	0.25	0.225	0.194	0.99917	0.482
chr8q21	26	Cytogenetic band	0.15744	0.53623	0.9885	0.98781	1	0.154	0.194	0.124	0.99422	0.326
chr1p21	15	Cytogenetic band	0.18652	0.51471	0.9731	0.98552	1	0.2	0.225	0.155	0.99074	0.372
