GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chr15q22	34	Cytogenetic band	0.281	0.90992	0.5853	1	0.982	0.235	0.151	0.2	1	0.669
chr9q33	44	Cytogenetic band	0.25996	0.90615	0.585	1	0.982	0.364	0.245	0.275	1	0.672
chr6p12	34	Cytogenetic band	0.27381	0.9058	0.5833	1	0.982	0.176	0.0792	0.163	1	0.644
chr12q13	143	Cytogenetic band	0.21437	0.90409	0.5988	1	0.982	0.301	0.204	0.242	1	0.635
chrXq13	28	Cytogenetic band	0.2602	0.89889	0.6144	1	0.983	0.321	0.225	0.249	1	0.636
chr1p35	37	Cytogenetic band	0.27601	0.89345	0.5888	1	0.983	0.378	0.24	0.288	1	0.631
chr10q22	55	Cytogenetic band	0.23984	0.8913	0.6063	1	0.984	0.327	0.228	0.254	1	0.623
chr13	180	Chromosome 13	0.21793	0.88406	0.627	1	0.985	0.261	0.195	0.213	1	0.627
chr6q25	40	Cytogenetic band	0.25066	0.88345	0.6276	1	0.985	0.275	0.209	0.218	1	0.599
chr17q24	23	Cytogenetic band	0.30765	0.88306	0.6161	1	0.985	0.304	0.171	0.253	1	0.585
chr12q15	15	Cytogenetic band	0.30259	0.87578	0.6278	1	0.985	0.533	0.244	0.404	1	0.586
chr4q25	18	Cytogenetic band	0.29994	0.8632	0.6242	1	0.986	0.167	0.0329	0.161	1	0.61
chr1q23	72	Cytogenetic band	0.22603	0.85901	0.67	1	0.987	0.208	0.125	0.183	1	0.607
chr12q21	27	Cytogenetic band	0.2845	0.85164	0.6765	1	0.987	0.185	0.0531	0.176	1	0.615
chr16p11	48	Cytogenetic band	0.24175	0.85159	0.6824	1	0.987	0.208	0.127	0.182	1	0.594
chr1p22	26	Cytogenetic band	0.26277	0.85045	0.6759	1	0.987	0.154	0.0606	0.145	1	0.584
chr3q27	33	Cytogenetic band	0.25594	0.8477	0.6754	1	0.987	0.182	0.109	0.162	1	0.576
chr10	356	Chromosome 10	0.20173	0.83698	0.7154	1	0.987	0.281	0.23	0.222	1	0.594
chr3q26	35	Cytogenetic band	0.24639	0.82987	0.6928	1	0.988	0.257	0.168	0.214	1	0.603
chr7q32	20	Cytogenetic band	0.27475	0.82965	0.685	0.99889	0.988	0.2	0.15	0.17	1	0.582
chr1p32	33	Cytogenetic band	0.26254	0.82926	0.6941	0.98357	0.988	0.364	0.264	0.268	1	0.554
chrXq26	21	Cytogenetic band	0.26785	0.82068	0.6767	0.99101	0.99	0.143	0.117	0.126	1	0.576
chr5q23	26	Cytogenetic band	0.25257	0.80944	0.7282	1	0.99	0.115	0.0406	0.111	1	0.592
chr14q32	91	Cytogenetic band	0.2115	0.79795	0.7654	1	0.991	0.209	0.152	0.178	1	0.623
chr22	269	Chromosome 22	0.18466	0.78378	0.8	1	0.992	0.268	0.213	0.214	1	0.659
chr10q26	49	Cytogenetic band	0.22132	0.7836	0.7652	1	0.992	0.265	0.184	0.217	1	0.634
chr20	308	Chromosome 20	0.17712	0.76934	0.856	1	0.992	0.292	0.241	0.226	1	0.669
chr8q21	32	Cytogenetic band	0.22752	0.7662	0.7929	1	0.992	0.188	0.108	0.168	1	0.662
chr8q22	31	Cytogenetic band	0.22907	0.76468	0.7939	1	0.992	0.484	0.335	0.323	1	0.647
chr5	468	Chromosome 5	0.16783	0.73367	0.9109	1	0.996	0.235	0.201	0.194	1	0.749
chr15q21	43	Cytogenetic band	0.20745	0.73106	0.8656	1	0.997	0.163	0.144	0.14	1	0.737
chr3q21	39	Cytogenetic band	0.21261	0.72983	0.8543	1	0.997	0.205	0.181	0.168	1	0.718
chr17q23	52	Cytogenetic band	0.19781	0.72453	0.8814	1	0.997	0.308	0.236	0.236	1	0.716
chr12q24	98	Cytogenetic band	0.18761	0.71104	0.8379	1	0.997	0.265	0.222	0.208	1	0.746
chr11p13	19	Cytogenetic band	0.23813	0.70986	0.8685	1	0.997	0.421	0.272	0.307	1	0.733
chr8	363	Chromosome 8	0.16072	0.70973	0.9329	1	0.997	0.251	0.231	0.197	1	0.711
chr4p16	43	Cytogenetic band	0.18475	0.69849	0.9312	1	0.997	0.186	0.147	0.159	1	0.737
chr2q11	36	Cytogenetic band	0.20941	0.69719	0.858	1	0.997	0.25	0.171	0.208	1	0.715
chr7p22	23	Cytogenetic band	0.22577	0.69374	0.8906	1	0.998	0.217	0.157	0.184	1	0.703
chr9q32	16	Cytogenetic band	0.22677	0.69191	0.876	1	0.998	0.438	0.252	0.328	1	0.685
chr16q23	17	Cytogenetic band	0.23753	0.68615	0.8632	1	0.998	0.353	0.251	0.265	1	0.673
chr7q22	67	Cytogenetic band	0.17346	0.6744	0.9406	1	0.998	0.313	0.263	0.232	1	0.699
chrXq21	21	Cytogenetic band	0.23423	0.66827	0.858	1	0.998	0.143	0.0794	0.132	1	0.69
chr4q31	31	Cytogenetic band	0.20492	0.65642	0.9253	1	0.998	0.226	0.188	0.184	1	0.706
chr20p11	33	Cytogenetic band	0.20888	0.64409	0.8877	1	0.998	0.303	0.177	0.25	1	0.73
chr2p22	18	Cytogenetic band	0.22562	0.62905	0.884	1	0.999	0.278	0.205	0.221	1	0.762
chr22q11	68	Cytogenetic band	0.17474	0.61596	0.9654	1	0.999	0.176	0.149	0.151	1	0.785
chr10q25	31	Cytogenetic band	0.18435	0.61014	0.9627	1	0.999	0.129	0.106	0.116	1	0.767
chr6p21	191	Cytogenetic band	0.15253	0.60927	0.9863	1	0.999	0.314	0.278	0.23	1	0.729
chr7q34	29	Cytogenetic band	0.18281	0.6087	0.9675	0.99154	0.999	0.31	0.221	0.242	1	0.669
chr4q32	20	Cytogenetic band	0.19609	0.58075	0.932	1	1	0.25	0.176	0.206	1	0.741
chr1q31	24	Cytogenetic band	0.19434	0.57385	0.9386	0.99713	1	0.125	0.0755	0.116	1	0.689
chr11q14	21	Cytogenetic band	0.18205	0.56718	0.9628	0.98999	1	0.0952	0.0379	0.0918	1	0.612
chr1q42	42	Cytogenetic band	0.1651	0.566	0.9793	0.98002	1	0.333	0.279	0.241	0.99689	0.446
chr8q13	19	Cytogenetic band	0.18573	0.54206	0.9531	0.98123	1	0.105	0.0653	0.0985	0.99484	0.351
chr1q22	33	Cytogenetic band	0.15107	0.48011	0.9943	0.99037	1	0.333	0.286	0.238	1	0.562
