Gene	electron_transport	MAP00561_Glycerolipi	SIG_BCR_Signaling_Pa	SIG_PIP3_signaling_i	ANTI_CD44_UP	MAP00120_Bile_acid_b	MAP00071_Fatty_acid_	MAP00361_gamma_Hexac	ST_Ga12_Pathway	fmlppathway	G13_Signaling_Pathwa	MAP00590_Prostagland	MAP00650_Butanoate_m	Fatty_Acid_Degradati	FA	MAP00280_Valine_leuc	MAP00640_Propanoate_	cell_cycle_regulator	tnf_and_fas_network	Il12Pathway
ALPI	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GLB1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNLIPRP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGKQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNLIP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK14	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PLG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE6A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1A2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLLT3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINC1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIGA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD3Z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL12RB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRB@	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JUN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PLD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
F2RL2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MAP2K5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLD3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WAS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MAPK10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MYBPH	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IQGAP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGDIB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGEF1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGDIG	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LIMK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BIRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TNFRSF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TNFSF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BIRC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BIRC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MPHOSPH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CHES1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WEE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CDK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PRKR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CDK5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RPS6KA2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD81	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTK	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLCG2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYK	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD19	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR0B2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CAMK1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NFATC4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NFKB1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MAPK1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
RAF1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
PPP3CA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PPP3CB	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NFATC1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0
HADHB	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0
ACAT1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0
ACADS	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0
HADHA	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0
